chinese	english
社會工作學系(醫務社工與長期照顧雙專	Department of Social Work (Double Major in Medical Social Work and Long-term Care
社會工作學系(醫務與心衛社工組)	Department of Social Work (Medical and Psychological Social Work Section)
社會工作學系(醫務與長期照顧社工組)	Department of Social Work (Medical and Long-term Care Social Work Section)
社會工作學系社工心理雙專業組	Social Work Psychology Double Major Group, Department of Social Work
社會工作學系醫務社工與長期照顧雙專業組	Medical Social Work and Long-term Care Dual Professional Group, Department of Social Work
社會工作學銷(連江公費生)	Social work scholarship (Lianjiang government-funded students)
社會工作學銷(願景旨)	Social Work Marketing (Vision Aim)
社會工作系	Department of Social Work
社會工作系(兒少家庭服務組)	Department of Social Work (Child and Child Family Services Section)
社會工作系(高齡福利服務組)	Department of Social Work (Elderly Welfare Services Section)
社會工作與兒童少年福利學系	Department of Social Work and Child and Adolescent Welfare
社會工作與兒童少年福利學系【外加】	Department of Social Work and Child and Adolescent Welfare [Additional]
社會工作與服務管理系	Department of Social Work and Service Management
社會心理學系	Department of Social Psychology
社會政策與社會工作學系	Department of Social Policy and Social Work
社會教育學系	Department of Social Education
社會暨公共事務學系	Department of Social and Public Affairs
社會暨政策科學學系	Department of Social and Policy Sciences
社會發展學系	Department of Social Development
社會發展學系【外加】	Department of Social Development【Additional】
社會福利學系	Department of Social Welfare
社會與區域發展學系	Department of Social and Regional Development
福祉科技與服務管理系	Department of Welfare Technology and Service Management
科學傳播學系	Department of Science Communication
科學教育與應用學系	Department of Science Education and Applied Studies
科學教育與應用學系(自費)	Department of Science Education and Applied Studies (self-funded)
科技學院學士班	Bachelor's degree at the Institute of Science and Technology
科技應用與人力資源發展學系	Department of Science and Technology Application and Human Resources Development
科技應用與人資發展系	Department of Technology Application and Human Resources Development
科技應用與人資發展系(自費)	Department of Technology Application and Human Resources Development (self-funded)
科技管理學系	Department of Science and Technology Management
科技管理學院學士班	Bachelor's Degree, College of Science and Technology Management
科技與人資發展系	Department of Technology and Human Resources Development
科技與人資發展系(公費)臺南	Department of Technology and Human Resources Development (Publicly Funded) Tainan
科教與應用系	Department of Science, Education and Application
科教與應用系(公費)-限原民	Department of Science, Education and Application (Publicly Funded)-Aborigines only
科普傳播學系	Department of Popular Science Communication
稻江科技暨管理學院	Daojiang College of Science and Technology and Management
空間設計學系	Department of Space Design
空間設計學系(室內設計組)	Department of Space Design (Interior Design Group)
空間設計學系(建築組)	Department of Space Design (Architecture Group)
空間設計學系室內設計組	Interior Design Group, Department of Space Design
空間設計學系建築組	Department of Space Design Architecture Group
空間設計系	Department of Space Design
競技與運動科學學系	Department of Athletics and Sports Science
竹師教育學院	bamboo teacher education college
竹師教育學院(永續發展組)	Zhu Shi Education College (Sustainable Development Section)
竹師教育學院(雙專長組)	Bamboo Teachers College of Education (Dual Specialty Group)
竹師教育學院學士班	Bachelor's degree at Zhushi Education College
竹師教育學院學士班乙組(永續發展教育	Group B, Bachelor's Degree, Zhushi Education College (Sustainable Development Education
竹師教育學院學士班乙組(永續發展教育組)	Group B of Bachelor's Program of Zhushi Education College (Sustainable Development Education Group)
竹師教育學院學士班甲組(雙專長組)	Group A of Bachelor’s Class of Zhushi Education College (Double Specialty Group)
竹師教育學院甲組(雙專長組)	Zhushi Education College Group A (Double Specialty Group)
管理學士班	Bachelor of Management
管理學系	Department of Management
管理學系(休閒事業管理組)	Department of Management (Leisure Business Management Group)
管理學系(經營管理組)	Department of Management (Business Management Section)
管理學系(行銷與休閒管理組)	Department of Management (Marketing and Leisure Management Group)
管理學系(行銷與創業組)	Department of Management (Marketing and Entrepreneurship Group)
管理學院國際企業學位學程	School of Management International Business Degree Program
管理學院國際企業學士學位學程	School of Management International Business Bachelor's Degree Program
管理學院學士班	Bachelor's degree at the School of Management
管理學院學士班(主修：企業管理)	Bachelor's degree at the School of Management (Major: Business Management)
管理學院學士班(主修：國際企業)	Bachelor's Degree, School of Management (Major: International Enterprise)
管理學院學士班(主修：國際企業管理)	Bachelor's degree at the School of Management (Major: International Business Management)
管理學院學士班(主修：數位行銷與人力	Bachelor's Degree, School of Management (Major: Digital Marketing and Human Resources
管理學院學士班(主修：會計)	Bachelor's degree at the School of Management (Major: Accounting)
管理學院學士班(主修：財務金融)	Bachelor's degree at the School of Management (Major: Finance)
管理學院學士班(主修：財務金融)【外加】	Bachelor's degree class in the School of Management (Major: Finance) [Additional]
管理學院學士班(主修：財務金融A組)	Bachelor's degree class in the School of Management (major: Finance Group A)
管理學院學士班(主修：財務金融B組)	Bachelor's degree class in the School of Management (Major: Finance Group B)
管理學院學士班(主修：財務金融C組)	Bachelor's degree class in the School of Management (Major: Finance Group C)
管理學院學士班(企業管理)	Bachelor's Degree from the School of Management (Business Management)
管理學院學士班(國際企業)	Bachelor's Degree, School of Management (International Enterprise)
管理學院學士班(英語專班)	Bachelor's degree program in the School of Management (English specialization)
管理學院學士班(財務金融)	Bachelor's Degree, School of Management (Finance)
